Region;Filial;Mencion;Negativo;Neutral;Positivo;Territorio_comunicacion
Caribe;AFINIA;RT @YeinerPaul Gestionamos ante la empresa afinia epm retiro de un poste qué venia afectando, a la comunidad del sector de la cra 19 # 7B- 55 avenida simón bolivar barrio los ángeles. @AfiniaGrupoEPM @AlexAcunaReales @Antenacivica @AlcaldiaVpar https://t.co/F0c2qj9atF;;;1;Impacto social y ambiental
Caribe;AFINIA;RT @SuarezTrinando: Me refiero  a Junta Directiva y Gerente de @EPMestamosahi de octubre 2020 a diciembre 2023. Tema @AfiniaGrupoEPM  no es modelo 2024-2025: https://t.co/Xj5flLBNz9 https://t.co/JuEa4DWoEe;;1;;No asignado
Caribe;AFINIA;RT @SinproColombia Afinia, dolor de cabeza para EPM Lo que pasa allá afecta acá. La situación de Afinia, además de poner en riesgo su viabilidad, la sostenibilidad de EPM y, eventualmente, hasta las transferencias a Medellín, podría generar racionamiento de energía para 1,8 millones de usuarios en la costa Atlántica. Desde EPM se planten...;1;;;Calidad del servicio
Caribe;AFINIA;RT @sicsuper @JorgeGa37239299 @petrogustavo @AfiniaGrupoEPM @macdonal5 @MiserqueAbel @jairodurann @AlexFlorezH @JorgeGa37239299 Hola, de acuerdo con tu inconformidad sugerimos remitir la reclamación ante la Superintendencia de Servicios Públicos Domiciliarios, ingresa a https://t.co/XA4ecIAFMp buen día.;;1;;No asignado
Caribe;AFINIA;RT @SebasEstradaR: :rotating_light:Afinia pasó a ser un problema de tamaño mayor para @EPMestamosahi. La compañía pública, propiedad de los medellinenses, está asumiendo una carga económica gigantesca, que impacta directamente a la casa matriz y las transferencia al distrito de Medellín.;1;;;No asignado
Caribe;AFINIA;RT @SebasEstradaR: :cyclone: Afinia, filial del Grupo EPM, presta el servicio de energía eléctrica en la región Caribe de Colombia. Atiende 5 departamentos: Bolívar, Córdoba, Sucre, Cesar y 11 municipios del sur del Magdalena. :earth_africa::zap:;;1;;Calidad del servicio
Caribe;AFINIA;RT @SebasEstradaR #Afinia | Tarifa de energía de Afinia seguirá aumentando, mientras panorama económico es más crítico. La filial de EPM solo logra recaudar 56 pesos por cada 100 pesos de energía entregados en su operación. https://t.co/k1WAbWlFWb;1;;;Calidad del servicio
Caribe;AFINIA;RT @SebasEstradaR #Afinia | Así fue como Afinia le entregó millonario contrato a la empresa del Turco Hilsaca en el 2022. Pese a la advertencia de la Contraloría Distrital, la filial de EPM le entregó un contrato a esta empresa, con un modelo cuestionado de licitación. https://t.co/msi5bTs7QZ;1;;;No asignado
Caribe;AFINIA;RT @SebasEstradaR #Afinia | A Afinia, filial de EPM, los entes públicos le deben 341 mil millones de pesos. En los últimos días, la compañía tuvo que desconectar a tres acueductos públicos por 118 facturas sin pagar. https://t.co/Oe5VYdpdmH;1;;;No asignado
Caribe;AFINIA;RT @santi_perdomo_m @gustavopetrourrego ¿Por qué su desidia con Medellín y Antioquia? Presidente los hechos muestran que ud quiere inducir a una crisis en el sector energético, específicamente en Afinia en la costa Caribe, para poder intervenir EPM ¿cuál es su verdadera intención con eso?… https://t.co/BDzFeOM8A1;1;;;Calidad del servicio
Caribe;AFINIA;RT @revistagrama @gelcagutierrez @JMLinaresDLTD @purrutia21 @AlcaldiaVpar @petrogustavo @acmineriacol @DrummondLtdCo @AfiniaGrupoEPM @AlexandraPinor #SEPALO | Productoras, como el Cesar y La Guajira. @DrummondLtdCo es una de las principales empresas productoras y exportadoras de carbón en Colombia, con un liderazgo en el sector. Es de subrayar...;;1;;Innovación y Liderazgo
Caribe;AFINIA;RT @revistagrama @AlianzaFc_ofic @angelicaolarteb @JMLinaresDLTD @jolurma57 @AlcaldiaVpar @CCSILVA86 @CCVALLEDUPAR @Bogota @ArielAnaliza @Areandina @ErnestoOrozcoD @Eliecersalazarl @ElmerJimenezS @AlexandraPinor @petrogustavo @fifaworldcup_es @AfiniaGrupoEPM @AlejandroChar @elviamilenasd @aralfa21 @gelcagutierrez @cmgnecco @petraromero27...;;1;;No asignado
Caribe;AFINIA;RT @revistagrama @AlianzaFc_ofic @angelicaolarteb @JMLinaresDLTD @jolurma57 @AlcaldiaVpar @CCSILVA86 @CCVALLEDUPAR @Bogota @ArielAnaliza @Areandina @ErnestoOrozcoD @Eliecersalazarl @ElmerJimenezS @AlexandraPinor @petrogustavo @fifaworldcup_es @AfiniaGrupoEPM @AlejandroChar @elviamilenasd @aralfa21 @gelcagutierrez #SEPALO | de la mañana, los...;;1;;No asignado
Caribe;AFINIA;RT @revistagrama @AlianzaFc_ofic @angelicaolarteb @JMLinaresDLTD @jolurma57 @AlcaldiaVpar @CCSILVA86 @CCVALLEDUPAR @Bogota @ArielAnaliza @Areandina @ErnestoOrozcoD @Eliecersalazarl @ElmerJimenezS @AlexandraPinor @petrogustavo @fifaworldcup_es @AfiniaGrupoEPM @AlejandroChar #SEPALO | en el seno directivo. Ligia Gutiérrez explica que, “Dentro de...;;1;;No asignado
Caribe;AFINIA;"RT @RadNalCo: #Mipaís| La gerencia general de Afinia, filial del Grupo EPM, sufre un cambio: John Jairo Granada Giraldo renuncia al cargo, que ocupará hasta el 15 de febrero.

Conoce los detalles:point_down:
https://t.co/2LlgOGrgkV";;1;;No asignado
Caribe;AFINIA;RT @phdporfi2020 @petrogustavo va a Lante, y va por la intervención de Afinia, y que sean ellos mismos quienes se saquen del mercado. A petro no le gusta que le digan expropiador, además Afinia compro parte de electrocaribe por debajo del precio real. https://t.co/kWHya28HSu;1;;;No asignado
Caribe;AFINIA;RT @niaireniafinia @JLastraFuscaldo @AfiniaGrupoEPM @EPMestamosahi Hey @petrogustavo y @MintrabajoCol nuevamente Fico atentando contra los trabajadores en Afinia. Hay que protegerlos! Son el pueblo. Ayuda urgente;1;;;No asignado
Caribe;AFINIA;RT @NacionColombiaX Trabajadores de Afinia rechazan los cortes de luz y el racionamiento por parte de la empresa a las comunidades más vulnerables https://t.co/lZcjiTqj3j @AfiniaGrupoEPM @EPMestamosahi #sintralecol #Racionamiento;1;;;No asignado
Caribe;AFINIA;RT @munera90 @diamaov Yo si le digo quien metió a @EPMestamosahi en el problema de @AfiniaGrupoEPM y que gobierno le tiene roabado a epm y a Medellín mas de 4 billones de pesos.;1;;;No asignado
Caribe;AFINIA;RT @ModenEnergia Rechazamos categóricamente los anuncios por parte de AFINIA de iniciar bajo el eufemismo de “Periodos de continuidad” que nos son más que racionamientos e interrupciones del servicio de energía anunciados para el municipio de Puerto Escondido. HILO 1/2 https://t.co/IPcIeh1WLn;1;;;Calidad del servicio
Caribe;AFINIA;RT @MartinAmora: @SebasEstradaR @EPMestamosahi @PauAguinaga se opuso desde el Concejo a la compra de Afinia por parte de @EPMestamosahi y ha demostrado en múltiples espacios el mal negocio que es Afinia para la ciudad, pero el debate técnico que proponía fue opacado por interés políticos a los que no les convenía el debate.;1;;;No asignado
Caribe;AFINIA;RT @Maika90709409 @macdonal5 @AfiniaGrupoEPM @Superservicios @dquirogac @petrogustavo @merv59 @gurozu @Jokeraton @SenorCaicedo @susanveinte @pedrosalazar420 @pormillano En Bolívar una familia estrato 1 de 6 personas, sin ningún lujo le llega la factura por $400.000;1;;;No asignado
Caribe;AFINIA;RT @MagdNoticias Valledupar sintió la buena energía de Afinia durante el Festival de la Leyenda Vallenata @AfiniaGrupoEPM @EPMestamosahi https://t.co/5B76Pw8NYK;;;1;Calidad del servicio
Caribe;AFINIA;RT @MagdNoticias Afinia se acerca a las comunidades por una energía segura y continua @AfiniaGrupoEPM @EPMestamosahi https://t.co/h2cp7sKUYZ;;;1;Calidad del servicio
Caribe;AFINIA;RT @MagdNoticias Afinia realizará una jornada comercial con grandes soluciones de financiación para sus clientes en El Carmen de Bolívar @AfiniaGrupoEPM @EPMestamosahi https://t.co/e94eHc5Oms;;;1;No asignado
Caribe;AFINIA;RT @MagdNoticias Afinia realizará trabajos en la subestación eléctrica Chinú Planta @AfiniaGrupoEPM @EPMestamosahi https://t.co/G8eHWh7vtP;;1;;No asignado
Caribe;AFINIA;RT @MagdNoticias Afinia realizará mejoras técnicas en la subestación El Carmen de Bolívar @AfiniaGrupoEPM @EPMestamosahi https://t.co/CIdss4XD4a;;1;;No asignado
Caribe;AFINIA;RT @MagdNoticias Afinia invierte para modernizar la infraestructura eléctrica en la Unidad Residencial OGB @AfiniaGrupoEPM @EPMestamosahi https://t.co/oUfQDKGUwO;;;1;No asignado
Caribe;AFINIA;RT @MagdNoticias Afinia ha entregado cerca 4.3 toneladas de residuos a la Asociación de Recicladores de Oficio de Sincelejo @AfiniaGrupoEPM @EPMestamosahi https://t.co/kFtlN9w9ok;;;1;Impacto social y ambiental
Caribe;AFINIA;RT @MagdNoticias Afinia avanza con jornadas técnicas para la optimización del servicio de energía en Cesar y Magdalena @AfiniaGrupoEPM @EPMestamosahi https://t.co/IcaqQSYJYy;;;1;Calidad del servicio
Caribe;AFINIA;RT @MagdNoticias Afinia adelanta transformaciones en la infraestructura eléctrica en Bolívar @AfiniaGrupoEPM @EPMestamosahi https://t.co/QMKA1crUqd;;1;;No asignado
Caribe;AFINIA;RT @MagdNoticias Afinia adelanta inversiones en la infraestructura eléctrica en Bolívar @AfiniaGrupoEPM @EPMestamosahi https://t.co/EQbxOQw9ME;;;1;No asignado
Caribe;AFINIA;RT @LuzMaSierra Contexto del: Afinia es de EPM y el gerente de entonces, Jorge Carrillo (puesto por Daniel Quintero), se la entregó a  ... Les recuerdo también que a Carrillo, @petrogustavo lo puso de presidente de ISA. (Luego se rasgan las vestiduras porque las tarifas de energía suben ). https://t.co/RLXj78fWHT;1;;;Calidad del servicio
Caribe;AFINIA;"RT @luispelaezj Para entender esto: Recuerden que Jorge Carrillo era el gerente de EPM, hoy cuestionado gerente de ISA, a Carrillo lo nombra Quintero; Afinia ha sido investigada por muchas cosas, y ahora se suma este contrato con el Turco Hisalca en plena campaña  https://t.co/8CHeiudxkt";1;;;No asignado
Caribe;AFINIA;RT @Liamjros: @andrescamachom_ @FicoGutierrez Desde la llegada de @FicoGutierrez a la junta directiva de @EPMestamosahi en @AfiniaGrupoEPM se cayó el recaudo, pérdidas de energía se dispararon y las inversiones están en el piso. Se contrataron en cargos directivos a dos hermanas y dos esposos. Esas son las buenas prácticas;1;;;Calidad del servicio
Caribe;AFINIA;RT @Liamjros: @alejodebedout Alejandro debería pedir cómo van las inversiones en @AfiniaGrupoEPM, el recaudo está por el piso y la gestión de la empresa está en su peor momento. Sabia que nombraron en cargos directivos a dos hermanas y dos esposos. Esas son las buenas prácticas de @EPMestamosahi ?;1;;;No asignado
Caribe;AFINIA;"RT @larepublica_co John Maya, gerente de Grupo EPM, reveló este miércoles que se pondrá en marcha un plan ""agresivo"" para reducir las pérdidas en la filial Afinia https://t.co/6g5WOIv53i";;;1;No asignado
Caribe;AFINIA;RT @jvergaracarbo Un proyecto que hay que aprobar. Permitirá integrar a Gecelca, Urra , y Transcelca empresas del Estado con Aire intervenida y Afinia de EPM. Sería recuperar la gran empresa que tuvimos y que la dirigencia costeña quebró con el proyecto TEBSA, al igual que permitió altas tarifas. https://t.co/wpbz0SwciY;;;1;Innovación y Liderazgo
Caribe;AFINIA;RT @JulianaHernandF Aquel llegó con el cuento de cuidar la empresa más querida por los antioqueños y terminó sometiéndola a los escándalos más grandes de corrupción. Afinia fue un negocio chueco desde que se planteó y ahora es EPM quien injustamente paga esas consecuencias. https://t.co/iCGCyPfS0q;1;;;No asignado
Caribe;AFINIA;RT @JuanPabloMorris “Negarle energía al caribe colombiano y cortarle el servicio a los ciudadanos a través de Afinia no es de una empresa pública con valores públicos, sino de intereses mezquinos.” Le dice el Ministro @PalmaEdwin al alcalde @FicoGutierrez que maneja #EPM a su antojo. https://t.co/y9XdZ7aP7A;1;;;Calidad del servicio
Caribe;AFINIA;RT @JorgeGa37239299 @sicsuper @petrogustavo @AfiniaGrupoEPM @macdonal5 @MiserqueAbel @jairodurann @AlexFlorezH @Superservicios ya el 21 de marzo Les mandé por correo certificado 472 los atropello de esta empresa Atracadora, ahora coasiona a nuestro Conjunto quitando la luz, y poniendo a firmas para q les vuelvan a colocar la luz y a la vez...;1;;;No asignado
Caribe;AFINIA;RT @jorgecura1070 A Afinia no le pagan ni los alcaldes de la costa Caribe: filial de EPM tiene hueco de más de $300.000 millones por deudas oficiales por @elcolombiano https://t.co/XbYek3jCeM;1;;;No asignado
Caribe;AFINIA;"RT @JLastraFuscaldo: Deficiente gestión del equipo directivo de @AfiniaGrupoEPM, familiares en su mayoría, desencadenaron la renuncia de su gerente. 

Un período crítico del servicio en la Costa Caribe, pero en el que @EPMestamosahi tiene mucho que aportar, gracias a sus buenos resultados financieros… https://t.co/lx6G3Fqk44";1;;;Calidad del servicio
Caribe;AFINIA;"RT @JLastraFuscaldo: “Afinia pierde cada mes unos $62.000 millones por fraude”: gerente Jhon Jairo Granada por @elcolombiano https://t.co/IaF6R8iGkO

El indicador de pérdidas de energía era de 27% en el momento que @EPMestamosahi compró a @AfiniaGrupoEPM (octubre de 2020) ahora, según el gerente está…";1;;;Calidad del servicio
Caribe;AFINIA;"RT @JLastraFuscaldo: &quot;Si en marzo no se paga a Afinia, se podría aplicar un racionamiento de energía&quot; https://www.larepublica.co/empresas/el-gerente-general-de-epm-john-maya-hablo-de-la-deuda-del-gobierno-con-afinia-4047136 vía @larepublica_co

:arrow_right: Comentario: 

Cómo entender que a @EPMestamosahi le fue bien en el 2024, incrementando su EBITDA por cuenta del incremento de los precios de la energía…";;1;;Calidad del servicio
Caribe;AFINIA;RT @JLastraFuscaldo Mi solidaridad con las organizaciones sindicales de @AfiniaGrupoEPM en medio de las negociaciones de las convenciones colectivas de trabajo. ⛔️ Inaceptable las acciones de la administración de la filial de @EPMestamosahi de despedir e investigar indebidamente a colaboradores… https://t.co/EGyaz0Z0Ni;1;;;No asignado
Caribe;AFINIA;RT @JLastraFuscaldo Afinia defiende cortes de luz: “Confiamos en que sea una medida transitoria” https://t.co/WqTsmZDcHO ⛔️Medidas como estas, además de poner en duda las buenas prácticas de @EPMestamosahi vulnera el principio de la universalidad de un servicio público esencial como la energía eléctrica. @Superservicios debería exigir la...;1;;;Calidad del servicio
Caribe;AFINIA;"RT @infopresidencia El Ministro de @MinEnergiaCo, @PalmaEdwin, informa sobre los cortes de energía que ha hecho la empresa Afinia que es propiedad de EPM, destacando que esta ha ""anunciado cortes de energía a barrios. Mientras hoy ellos están apagando barrios completos, nosotros estamos llevando energía a esos barrios"". Y contrastó la situación...";;;1;Calidad del servicio
Caribe;AFINIA;RT @gregoriopatino: @SuarezTrinando @EPMestamosahi @IvanDuque Y nos quedamos con Afinia y sin Tren de la 80;1;;;No asignado
Caribe;AFINIA;RT @GeneracionPAnt La auditoría financiera a la empresa @AfiniaGrupoEPM, filial de @EPMestamosahi, por parte de la @ContraloriaMed, avanza en un 46 %. De acuerdo con el contralor Pablo Garcés Los resultados de este control fiscal, serán la base para emitir un pronunciamiento. https://t.co/LrEOWiIJ41;;1;;No asignado
Caribe;AFINIA;"RT @gabelri1 Petro usando los canales privados para atacar políticamente a la oposición , @EPMestamosahi no tiene porqué ""vender"" energía a quien NO VA A PAGAR !! #AfiniaEnCordoba";1;;;Calidad del servicio
Caribe;AFINIA;RT @FrancoF49343035 * ALCALDES MALAPAGA ___ $300.000 MILLONES le deben a Afinia varias alcaldías de la costa Caribe: https://t.co/SlGlZsHtR5 ___ Esta comercializadora de energía eléctrica está a punto de tirar la toalla. https://t.co/DrJjKhmFRM ...;1;;;Calidad del servicio
Caribe;AFINIA;RT @felipetrujillos: @SebasEstradaR @EPMestamosahi Muchas gracias @QuinteroCalle https://www.elcolombiano.com/medellin/afinia-presunta-venta-gerencia-daniel-quintero-MB24430509;;1;;No asignado
